ElectoralDistrictID,District,Bureau,Poste,Candidat,Partie,Votes,TotalValidVotes,TotalRejectedVotes,TotalVotes
11,11-Sault-au-Récollet,001,"0,00",DUVAL Jean,Indépendant,1,176,3,179
11,11-Sault-au-Récollet,001,"0,00",HU Fang,Indépendant,0,176,3,179
11,11-Sault-au-Récollet,001,"0,00",LE ROUGETEL Katy,Indépendant,0,176,3,179
11,11-Sault-au-Récollet,001,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,20,176,3,179
11,11-Sault-au-Récollet,001,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,66,176,3,179
11,11-Sault-au-Récollet,001,"0,00",KACOU Jean-François,Futur Montréal,1,176,3,179
11,11-Sault-au-Récollet,001,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,81,176,3,179
11,11-Sault-au-Récollet,001,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,7,176,3,179
11,11-Sault-au-Récollet,010,"0,00",DUVAL Jean,Indépendant,0,179,2,181
11,11-Sault-au-Récollet,010,"0,00",HU Fang,Indépendant,0,179,2,181
11,11-Sault-au-Récollet,010,"0,00",LE ROUGETEL Katy,Indépendant,0,179,2,181
11,11-Sault-au-Récollet,010,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,21,179,2,181
11,11-Sault-au-Récollet,010,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,70,179,2,181
11,11-Sault-au-Récollet,010,"0,00",KACOU Jean-François,Futur Montréal,3,179,2,181
11,11-Sault-au-Récollet,010,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,74,179,2,181
11,11-Sault-au-Récollet,010,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,11,179,2,181
11,11-Sault-au-Récollet,011,"0,00",DUVAL Jean,Indépendant,0,39,2,41
11,11-Sault-au-Récollet,011,"0,00",HU Fang,Indépendant,0,39,2,41
11,11-Sault-au-Récollet,011,"0,00",LE ROUGETEL Katy,Indépendant,0,39,2,41
11,11-Sault-au-Récollet,011,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,0,39,2,41
11,11-Sault-au-Récollet,011,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,18,39,2,41
11,11-Sault-au-Récollet,011,"0,00",KACOU Jean-François,Futur Montréal,0,39,2,41
11,11-Sault-au-Récollet,011,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,20,39,2,41
11,11-Sault-au-Récollet,011,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,1,39,2,41
11,11-Sault-au-Récollet,012,"0,00",DUVAL Jean,Indépendant,0,140,3,143
11,11-Sault-au-Récollet,012,"0,00",HU Fang,Indépendant,0,140,3,143
11,11-Sault-au-Récollet,012,"0,00",LE ROUGETEL Katy,Indépendant,0,140,3,143
11,11-Sault-au-Récollet,012,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,16,140,3,143
11,11-Sault-au-Récollet,012,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,39,140,3,143
11,11-Sault-au-Récollet,012,"0,00",KACOU Jean-François,Futur Montréal,4,140,3,143
11,11-Sault-au-Récollet,012,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,69,140,3,143
